"country","year","age","value","activity_type","burden_outcome"
"ABC",2000,0,16,"routine","deaths"
"ABC",2000,1,15,"routine","deaths"
"ABC",2000,2,14,"routine","deaths"
"ABC",2000,3,13,"routine","deaths"
"ABC",2000,4,13,"routine","deaths"
"ABC",2000,5,12,"routine","deaths"
"ABC",2000,6,12,"routine","deaths"
"ABC",2000,7,11,"routine","deaths"
"ABC",2000,8,11,"routine","deaths"
"ABC",2000,9,10,"routine","deaths"
"ABC",2000,10,8,"routine","deaths"
"ABC",2000,11,8,"routine","deaths"
"ABC",2000,12,6,"routine","deaths"
"ABC",2000,13,6,"routine","deaths"
"ABC",2000,14,6,"routine","deaths"
"ABC",2000,15,6,"routine","deaths"
"ABC",2000,16,5,"routine","deaths"
"ABC",2000,17,5,"routine","deaths"
"ABC",2000,18,5,"routine","deaths"
"ABC",2000,19,5,"routine","deaths"
"ABC",2000,20,5,"routine","deaths"
"ABC",2000,21,4,"routine","deaths"
"ABC",2000,22,4,"routine","deaths"
"ABC",2000,23,4,"routine","deaths"
"ABC",2000,24,4,"routine","deaths"
"ABC",2000,25,4,"routine","deaths"
"ABC",2000,26,3,"routine","deaths"
"ABC",2000,27,3,"routine","deaths"
"ABC",2000,28,3,"routine","deaths"
"ABC",2000,29,3,"routine","deaths"
"ABC",2000,30,3,"routine","deaths"
"ABC",2000,31,3,"routine","deaths"
"ABC",2000,32,3,"routine","deaths"
"ABC",2000,33,2,"routine","deaths"
"ABC",2000,34,2,"routine","deaths"
"ABC",2000,35,2,"routine","deaths"
"ABC",2000,36,2,"routine","deaths"
"ABC",2000,37,2,"routine","deaths"
"ABC",2000,38,2,"routine","deaths"
"ABC",2000,39,2,"routine","deaths"
"ABC",2000,40,2,"routine","deaths"
"ABC",2000,41,2,"routine","deaths"
"ABC",2000,42,2,"routine","deaths"
"ABC",2000,43,2,"routine","deaths"
"ABC",2000,44,2,"routine","deaths"
"ABC",2000,45,1,"routine","deaths"
"ABC",2000,46,1,"routine","deaths"
"ABC",2000,47,1,"routine","deaths"
"ABC",2000,48,1,"routine","deaths"
"ABC",2000,49,1,"routine","deaths"
