"country","time","baseline_value","focal_value","value","index","burden_outcome"
"ABC",2000,1557.54804263,1557.54804263,-4.54747350886464e-13,19,"deaths"
"ABC",2001,1603.33289072,1603.33289072,2.27373675443232e-13,19,"deaths"
"ABC",2002,1650.26042698,1650.26042698,2.27373675443232e-13,19,"deaths"
"ABC",2003,1698.17744039,1698.17744039,-2.27373675443232e-13,19,"deaths"
"ABC",2004,1746.81719914,1746.81719914,0,19,"deaths"
"ABC",2005,1795.99700539,1795.99700539,-2.27373675443232e-13,19,"deaths"
"ABC",2006,1845.63220659,1845.63220659,-2.27373675443232e-13,19,"deaths"
"ABC",2007,1895.86529519,1895.86529519,4.54747350886464e-13,19,"deaths"
"ABC",2008,1946.89875111,1946.89875111,-4.54747350886464e-13,19,"deaths"
"ABC",2009,1999.018606,1999.018606,0,19,"deaths"
"ABC",2010,2052.41704663,2052.41704663,-4.54747350886464e-13,19,"deaths"
"ABC",2011,2107.15506261,2107.15506261,-1.36424205265939e-12,19,"deaths"
"ABC",2012,2163.13895742,2163.13895742,2.27373675443232e-12,19,"deaths"
"ABC",2013,2220.19357796,2220.19357796,-4.54747350886464e-13,19,"deaths"
"ABC",2014,2278.0636846,2278.0636846,1.81898940354586e-12,19,"deaths"
"ABC",2015,2336.55061385,2336.55061385,-9.09494701772928e-13,19,"deaths"
"ABC",2016,2395.6068279,2395.6068279,0,19,"deaths"
"ABC",2017,2455.19627001,2455.19627001,-4.54747350886464e-13,19,"deaths"
"ABC",2018,2515.30613491,2515.30613491,-9.09494701772928e-13,19,"deaths"
"ABC",2019,2575.94761808,2575.94761808,9.09494701772928e-13,19,"deaths"
"ABC",2020,2637.10944105,2637.10944105,-4.54747350886464e-13,19,"deaths"
"ABC",2021,2650.48908219,2650.48908219,-1.36424205265939e-12,19,"deaths"
"ABC",2022,2658.68604954,2658.68604954,4.54747350886464e-13,19,"deaths"
"ABC",2023,2663.0701564,2663.0701564,0,19,"deaths"
"ABC",2024,2666.7448646,2666.7448646,4.54747350886464e-13,19,"deaths"
"ABC",2025,2669.7050216,2669.7050216,4.54747350886464e-13,19,"deaths"
"ABC",2026,2671.4617435,2671.4617435,4.54747350886464e-13,19,"deaths"
"ABC",2027,2672.4873443,2672.4873443,4.54747350886464e-13,19,"deaths"
"ABC",2028,2672.744199,2672.744199,0,19,"deaths"
"ABC",2029,2672.9282875,2672.9282875,-4.54747350886464e-13,19,"deaths"
"ABC",2030,2672.2120774,2672.2120774,-4.54747350886464e-13,19,"deaths"
"ABC",2031,2670.2324461,2670.2324461,-4.54747350886464e-13,19,"deaths"
"ABC",2032,2667.2904495,2667.2904495,4.54747350886464e-13,19,"deaths"
"ABC",2033,2663.3934927,2663.3934927,-4.54747350886464e-13,19,"deaths"
"ABC",2034,2658.5707894,2658.5707894,4.54747350886464e-13,19,"deaths"
"ABC",2035,2652.8074086,2652.8074086,9.09494701772928e-13,19,"deaths"
"ABC",2036,2645.2500291,2645.2500291,4.54747350886464e-13,19,"deaths"
"ABC",2037,2636.7904014,2636.7904014,9.09494701772928e-13,19,"deaths"
"ABC",2038,2627.4037902,2627.4037902,4.54747350886464e-13,19,"deaths"
"ABC",2039,2617.447289,2617.447289,-4.54747350886464e-13,19,"deaths"
"ABC",2040,2607.3153761,2607.3153761,4.54747350886464e-13,19,"deaths"
"ABC",2041,2596.4578386,2596.4578386,0,19,"deaths"
"ABC",2042,2585.3662784,2585.3662784,-4.54747350886464e-13,19,"deaths"
"ABC",2043,2574.0467212,2574.0467212,0,19,"deaths"
"ABC",2044,2562.5194362,2562.5194362,-4.54747350886464e-13,19,"deaths"
"ABC",2045,2550.7741769,2550.7741769,9.09494701772928e-13,19,"deaths"
"ABC",2046,2537.757014,2537.757014,4.54747350886464e-13,19,"deaths"
"ABC",2047,2524.540203,2524.540203,0,19,"deaths"
"ABC",2048,2511.0850782,2511.0850782,4.54747350886464e-13,19,"deaths"
"ABC",2049,2497.3508513,2497.3508513,-9.09494701772928e-13,19,"deaths"
"ABC",2050,2483.3319009,2483.3319009,9.09494701772928e-13,19,"deaths"
"ABC",2051,2467.9590674,2467.9590674,-4.54747350886464e-13,19,"deaths"
